giorni_cumulativi,vanumero_colonne,vicini,val_accuracy,train_accuracy
1,all,9,0.46,0.58
1,all,15,0.47,0.55
1,all,18,0.5,0.54
1,all,69,0.51,0.51
1,less,9,0.44,0.57
1,less,12,0.46,0.56
1,less,15,0.48,0.55
1,less,24,0.49,0.53
1,less,48,0.5,0.52
1,less,72,0.51,0.52
1,few,9,0.48,0.58
1,few,21,0.49,0.54
1,few,51,0.5,0.52
1,few,63,0.52,0.52
1,few,72,0.53,0.51
2,all,9,0.46,0.57
2,all,15,0.48,0.54
2,all,33,0.49,0.52
2,all,93,0.5,0.51
2,less,9,0.44,0.57
2,less,12,0.46,0.55
2,less,15,0.48,0.54
2,less,18,0.49,0.53
2,less,27,0.5,0.52
2,few,9,0.45,0.57
2,few,18,0.46,0.54
2,few,21,0.48,0.53
2,few,27,0.5,0.52
3,all,9,0.44,0.57
3,all,15,0.45,0.54
3,all,18,0.46,0.53
3,all,21,0.47,0.53
3,all,30,0.49,0.52
3,all,39,0.5,0.52
3,all,45,0.51,0.51
3,less,9,0.41,0.57
3,less,12,0.43,0.56
3,less,18,0.44,0.53
3,less,21,0.45,0.53
3,less,24,0.46,0.53
3,less,30,0.48,0.53
3,less,33,0.49,0.52
3,less,39,0.5,0.52
3,less,57,0.51,0.51
3,few,9,0.44,0.58
3,few,15,0.46,0.56
3,few,18,0.48,0.55
3,few,24,0.49,0.54
3,few,27,0.5,0.53
3,few,63,0.51,0.51
4,all,9,0.43,0.57
4,all,15,0.44,0.54
4,all,18,0.46,0.53
4,all,21,0.48,0.52
4,all,36,0.5,0.52
4,less,9,0.41,0.56
4,less,18,0.43,0.53
4,less,27,0.45,0.52
4,less,33,0.46,0.52
4,less,39,0.47,0.52
4,less,48,0.48,0.51
4,less,57,0.49,0.51
4,less,114,0.5,0.51
4,less,117,0.51,0.51
4,few,9,0.41,0.57
4,few,12,0.42,0.55
4,few,18,0.44,0.53
4,few,24,0.46,0.53
4,few,30,0.47,0.52
4,few,33,0.48,0.52
4,few,39,0.5,0.52
4,few,69,0.51,0.51
5,all,9,0.43,0.56
5,all,12,0.47,0.55
5,all,18,0.49,0.53
5,all,42,0.5,0.52
5,less,9,0.42,0.56
5,less,12,0.45,0.55
5,less,21,0.46,0.54
5,less,33,0.5,0.52
5,few,9,0.43,0.57
5,few,21,0.48,0.54
5,few,51,0.5,0.51
6,all,9,0.45,0.57
6,all,12,0.46,0.55
6,all,24,0.47,0.52
6,all,33,0.48,0.52
6,all,57,0.49,0.51
6,all,69,0.51,0.51
6,all,117,0.52,0.5
6,less,9,0.42,0.57
6,less,12,0.43,0.55
6,less,18,0.45,0.54
6,less,24,0.46,0.52
6,less,27,0.47,0.53
6,less,30,0.48,0.52
6,less,45,0.49,0.52
6,less,63,0.51,0.51
6,few,9,0.42,0.57
6,few,12,0.43,0.55
6,few,15,0.46,0.55
6,few,21,0.47,0.54
6,few,30,0.48,0.53
6,few,48,0.49,0.51
6,few,51,0.5,0.51
7,all,9,0.39,0.57
7,all,12,0.45,0.56
7,all,21,0.47,0.53
7,all,36,0.48,0.51
7,all,48,0.49,0.51
7,all,111,0.5,0.5
7,less,9,0.43,0.57
7,less,15,0.44,0.55
7,less,21,0.45,0.53
7,less,24,0.46,0.53
7,less,39,0.47,0.51
7,less,42,0.49,0.51
7,less,72,0.5,0.51
7,few,9,0.39,0.58
7,few,12,0.41,0.56
7,few,15,0.45,0.55
7,few,21,0.47,0.53
7,few,33,0.49,0.52
7,few,63,0.5,0.51
7,few,69,0.51,0.51
8,all,9,0.45,0.57
8,all,12,0.46,0.55
8,all,30,0.47,0.53
8,all,33,0.49,0.52
8,all,96,0.5,0.5
8,less,9,0.45,0.56
8,less,18,0.48,0.54
8,less,48,0.5,0.52
8,few,9,0.42,0.57
8,few,15,0.45,0.55
8,few,18,0.46,0.54
8,few,27,0.48,0.53
8,few,30,0.49,0.52
8,few,81,0.5,0.51
9,all,9,0.45,0.56
9,all,15,0.46,0.55
9,all,18,0.47,0.54
9,all,33,0.49,0.52
9,all,114,0.5,0.5
9,less,9,0.44,0.57
9,less,24,0.45,0.54
9,less,27,0.47,0.53
9,less,33,0.48,0.53
9,less,36,0.5,0.52
9,less,105,0.51,0.5
9,few,9,0.44,0.58
9,few,15,0.46,0.55
9,few,21,0.47,0.54
9,few,30,0.48,0.53
9,few,42,0.49,0.52
9,few,66,0.5,0.52
10,all,9,0.45,0.57
10,all,15,0.46,0.55
10,all,21,0.47,0.53
10,all,24,0.48,0.53
10,all,33,0.49,0.52
10,all,39,0.5,0.52
10,less,9,0.44,0.56
10,less,15,0.45,0.54
10,less,21,0.47,0.53
10,less,27,0.48,0.52
10,less,36,0.49,0.52
10,less,39,0.5,0.52
10,few,9,0.44,0.57
10,few,12,0.45,0.56
10,few,15,0.48,0.56
10,few,30,0.51,0.53
