giorni_cumulativi,vanumero_colonne,oversample,vicini,val_accuracy,train_accuracy
1,all,True,9,0.36,0.61
1,all,True,12,0.38,0.58
1,all,True,15,0.39,0.56
1,all,True,24,0.41,0.52
1,all,True,51,0.42,0.48
1,all,True,60,0.43,0.48
1,all,True,72,0.45,0.47
1,all,True,99,0.46,0.47
1,all,False,9,0.43,0.58
1,all,False,15,0.45,0.55
1,all,False,27,0.46,0.53
1,all,False,33,0.48,0.53
1,all,False,57,0.49,0.51
1,less,True,9,0.39,0.6
1,less,True,18,0.41,0.54
1,less,True,48,0.42,0.48
1,less,True,57,0.43,0.48
1,less,True,63,0.44,0.48
1,less,True,66,0.45,0.49
1,less,True,78,0.46,0.48
1,less,False,9,0.42,0.57
1,less,False,12,0.43,0.56
1,less,False,15,0.45,0.56
1,less,False,21,0.47,0.54
1,less,False,33,0.48,0.53
1,less,False,57,0.49,0.52
1,less,False,84,0.5,0.51
1,few,True,9,0.41,0.61
1,few,True,18,0.43,0.55
1,few,True,27,0.44,0.52
1,few,True,33,0.45,0.51
1,few,True,60,0.46,0.49
1,few,False,9,0.45,0.58
1,few,False,12,0.46,0.56
1,few,False,15,0.49,0.56
1,few,False,39,0.5,0.52
1,few,False,45,0.51,0.52
2,all,True,9,0.41,0.6
2,all,True,42,0.42,0.48
2,all,True,54,0.43,0.47
2,all,True,96,0.44,0.46
2,all,True,114,0.45,0.46
2,all,False,9,0.43,0.56
2,all,False,12,0.45,0.55
2,all,False,15,0.46,0.53
2,all,False,21,0.47,0.53
2,all,False,33,0.48,0.52
2,all,False,48,0.49,0.51
2,all,False,72,0.5,0.51
2,less,True,9,0.4,0.6
2,less,True,18,0.41,0.53
2,less,True,54,0.42,0.47
2,less,True,63,0.43,0.48
2,less,True,81,0.44,0.47
2,less,False,9,0.42,0.57
2,less,False,12,0.45,0.55
2,less,False,15,0.47,0.54
2,less,False,27,0.48,0.52
2,less,False,39,0.49,0.52
2,less,False,42,0.5,0.51
2,few,True,9,0.41,0.59
2,few,True,66,0.43,0.47
2,few,True,84,0.44,0.46
2,few,False,9,0.45,0.57
2,few,False,18,0.46,0.53
2,few,False,21,0.48,0.53
2,few,False,30,0.49,0.52
3,all,True,9,0.37,0.59
3,all,True,12,0.38,0.57
3,all,True,18,0.39,0.54
3,all,True,24,0.42,0.52
3,all,True,45,0.43,0.49
3,all,True,48,0.44,0.48
3,all,True,54,0.45,0.48
3,all,False,9,0.43,0.56
3,all,False,12,0.44,0.55
3,all,False,18,0.45,0.54
3,all,False,24,0.46,0.52
3,all,False,27,0.47,0.53
3,all,False,81,0.48,0.52
3,all,False,96,0.49,0.51
3,all,False,114,0.5,0.5
3,less,True,9,0.39,0.6
3,less,True,18,0.4,0.55
3,less,True,27,0.41,0.5
3,less,True,30,0.42,0.5
3,less,True,45,0.44,0.49
3,less,False,9,0.42,0.56
3,less,False,12,0.43,0.55
3,less,False,15,0.45,0.54
3,less,False,18,0.47,0.54
3,less,False,84,0.48,0.51
3,less,False,108,0.49,0.5
3,few,True,9,0.4,0.58
3,few,True,15,0.41,0.54
3,few,True,30,0.42,0.51
3,few,True,87,0.43,0.47
3,few,False,9,0.45,0.57
3,few,False,15,0.47,0.55
3,few,False,27,0.48,0.53
3,few,False,75,0.49,0.51
4,all,True,9,0.36,0.59
4,all,True,12,0.37,0.55
4,all,True,18,0.38,0.52
4,all,True,39,0.39,0.48
4,all,True,42,0.4,0.48
4,all,True,57,0.41,0.47
4,all,True,93,0.42,0.46
4,all,True,96,0.43,0.45
4,all,True,102,0.44,0.45
4,all,True,105,0.45,0.45
4,all,False,9,0.41,0.56
4,all,False,12,0.42,0.55
4,all,False,15,0.43,0.54
4,all,False,18,0.44,0.54
4,all,False,27,0.45,0.53
4,all,False,33,0.46,0.52
4,all,False,45,0.47,0.52
4,all,False,69,0.48,0.51
4,all,False,75,0.49,0.51
4,less,True,9,0.4,0.59
4,less,True,36,0.41,0.49
4,less,True,39,0.42,0.49
4,less,True,66,0.43,0.48
4,less,True,90,0.44,0.48
4,less,True,96,0.45,0.47
4,less,True,114,0.46,0.46
4,less,False,9,0.42,0.56
4,less,False,12,0.43,0.55
4,less,False,21,0.46,0.53
4,less,False,24,0.47,0.52
4,less,False,39,0.48,0.52
4,less,False,51,0.49,0.52
4,few,True,9,0.38,0.6
4,few,True,12,0.4,0.57
4,few,True,60,0.42,0.48
4,few,True,87,0.43,0.47
4,few,False,9,0.44,0.56
4,few,False,24,0.45,0.53
4,few,False,27,0.46,0.53
4,few,False,33,0.47,0.52
4,few,False,36,0.48,0.52
4,few,False,63,0.49,0.51
4,few,False,96,0.5,0.5
5,all,True,9,0.36,0.6
5,all,True,18,0.38,0.54
5,all,True,45,0.41,0.5
5,all,True,84,0.42,0.48
5,all,True,105,0.43,0.48
5,all,False,9,0.41,0.57
5,all,False,12,0.42,0.55
5,all,False,15,0.43,0.55
5,all,False,21,0.44,0.54
5,all,False,24,0.45,0.54
5,all,False,33,0.47,0.53
5,all,False,48,0.48,0.52
5,all,False,75,0.49,0.51
5,less,True,9,0.37,0.59
5,less,True,12,0.39,0.58
5,less,True,42,0.4,0.5
5,less,True,51,0.41,0.5
5,less,True,54,0.42,0.49
5,less,True,57,0.43,0.49
5,less,False,9,0.41,0.57
5,less,False,12,0.43,0.56
5,less,False,15,0.45,0.55
5,less,False,24,0.46,0.53
5,less,False,27,0.47,0.53
5,less,False,48,0.48,0.52
5,less,False,81,0.49,0.51
5,few,True,9,0.39,0.59
5,few,True,36,0.4,0.5
5,few,True,39,0.41,0.5
5,few,True,90,0.42,0.47
5,few,False,9,0.42,0.57
5,few,False,12,0.44,0.56
5,few,False,18,0.45,0.55
5,few,False,21,0.46,0.54
5,few,False,33,0.47,0.52
5,few,False,54,0.48,0.52
5,few,False,60,0.49,0.51
5,few,False,111,0.5,0.5
6,all,True,9,0.38,0.6
6,all,True,12,0.41,0.57
6,all,True,102,0.42,0.47
6,all,True,114,0.43,0.47
6,all,False,9,0.43,0.57
6,all,False,21,0.45,0.53
6,all,False,30,0.46,0.53
6,all,False,36,0.48,0.52
6,all,False,99,0.49,0.51
6,all,False,111,0.5,0.5
6,less,True,9,0.39,0.59
6,less,True,15,0.4,0.55
6,less,True,33,0.41,0.5
6,less,True,99,0.42,0.48
6,less,True,105,0.43,0.48
6,less,False,9,0.43,0.57
6,less,False,15,0.44,0.55
6,less,False,21,0.46,0.53
6,less,False,30,0.48,0.52
6,less,False,36,0.49,0.51
6,less,False,39,0.5,0.52
6,less,False,105,0.51,0.51
6,few,True,9,0.36,0.6
6,few,True,12,0.38,0.57
6,few,True,21,0.39,0.52
6,few,True,27,0.4,0.51
6,few,True,48,0.41,0.48
6,few,True,66,0.42,0.48
6,few,True,84,0.43,0.47
6,few,False,9,0.42,0.57
6,few,False,12,0.45,0.55
6,few,False,18,0.46,0.54
6,few,False,27,0.47,0.53
6,few,False,30,0.48,0.52
6,few,False,66,0.49,0.52
6,few,False,78,0.5,0.51
7,all,True,9,0.36,0.61
